Run,Mean Queuing Time Receptionist,Mean Queuing Time Consultation,Mean Queuing Time Surgery Booking,Mean Total Time in System 1,Mean Queuing Time Calling,Mean Total Time in System 2
27,198.15034092720404,8.343329453447742,138.72857935520267,177.25516893700998,170.96808463947707,172.58819010504317
28,199.64175188568385,17.149127501360024,186.84138148787403,207.47779665178473,199.33396334560257,201.02092533909052
29,138.43914055413077,21.323629472363827,192.69134631697824,185.09001232071302,168.74703207634144,172.141688322304
30,235.3090223152653,21.672058005356362,253.3977717129727,267.897663805845,252.7357003065164,254.98443026263905
31,216.35448853764328,7.887429570163637,191.60906862943253,245.20377024388858,221.41480146084942,222.18865840013785
32,173.23420524373623,5.041502725377321,186.79885117471005,195.48302565869795,173.39341946984203,181.81238266431896
33,186.41922853077494,20.318186825461815,220.83758615243994,228.21338452810235,188.4585147735356,194.3184262984531
34,245.42839023886154,20.082239234091034,275.19828511075514,289.5657756510773,247.07067104680493,255.87815216651742
35,141.87499968942734,37.04316759070715,135.01896430301124,185.77988019930788,125.15792883021643,135.47574574965864
36,259.6496704046109,6.513048707041603,241.29148633216832,255.13669667020721,236.86787383561744,241.52907842865937
37,159.56399676238271,56.399697557850985,168.91762771058686,203.96158193517095,173.26444140140634,178.1691689615205
38,198.02961556737512,48.13454976906996,208.60933489476318,273.94971479550145,199.63489305817313,199.89711048796502
39,184.01365271338554,7.7117007042367005,238.27577990074587,216.57694537344864,219.22091001982614,227.4238553108953
40,206.62232868947467,5.978241759915204,202.48084727545188,226.8665792847271,197.33189210647734,201.57874351959452
41,216.82265233373766,5.124625235353826,246.01804174178415,251.00834279576603,210.0218954001558,211.752025679432
42,197.6498546842962,13.245017172542275,204.5538731105059,245.4874591961626,177.59235902978023,178.7144742223849
43,160.00768785233166,19.634806364226318,160.87574601564882,191.35767983826145,179.69038465008302,185.76312978261356
44,157.45494974561308,4.230156990245181,145.88907527975041,179.6595432495956,157.8137303739385,162.67273282580285
45,187.486672582994,10.879596873011783,193.72233860237185,223.06851430045916,186.60405429573828,191.98267961053926
46,231.82479494896182,32.79138009797632,208.76910475382007,264.1389725481998,221.35837155310793,227.93311786483622
47,158.0401956101389,29.630119297764498,215.168056130285,203.36376600626664,156.69185514039057,165.21207891633819
48,175.74322420078045,21.753847286399882,161.38749116423003,200.78641628105524,177.84578004482248,182.89115054038115
49,181.20044965168682,11.482285422901704,179.12908654556563,210.36745762558496,185.8284007716998,191.95216609666488
50,82.37030683673025,84.85836341718581,76.91904934687179,169.08497833736564,84.35521265353927,89.46794292770127
51,133.20579958252364,35.4516533648435,131.15606604356944,184.70308088634002,117.84135819611453,130.7680440576629
52,216.10876308497154,8.817768886528867,218.2324024987093,246.27919989132212,207.23253799737503,211.38294836203485
53,211.94617197693856,26.2035475770976,232.8384742630091,251.4366149719304,204.05160539693344,210.34858475508943
54,154.17727914635358,6.053273182417534,177.6114543950135,175.12578422803907,168.62514666115396,175.61007017844992
55,164.24551350203015,7.926884603845867,134.68637429516778,180.92840912622188,159.77024348684787,165.61423832136362
56,220.65425676917724,14.10570276296315,260.67389566972753,247.859855747157,233.44711289628898,244.43006265209522
57,169.7427008543552,26.893266509487574,171.0918949474957,213.65010943920672,169.82079175605398,175.04122546524644
58,106.43638637617482,66.40827168360077,111.19517288827457,186.51568480997813,120.35723477765922,123.83311163655205
59,132.84661756874948,15.133638587958648,139.69880022385505,141.36645591848804,163.74301324320484,167.02070306679562
60,215.685805416689,7.7963963459201295,251.96265815661346,233.567728953191,245.8481304234801,245.21154806128044
61,216.46734679753095,18.433307756788825,219.61092820918276,239.11976001602233,221.18756121233952,225.93103913969907
62,205.08139686256396,6.498111561778665,216.9164437635925,206.42609321021357,190.99523769166487,196.17445134786803
63,242.90730584107894,12.133704807393665,243.9750459117891,284.36369386372405,232.43066070085172,233.70482472605156
64,244.6811716269555,5.765499167624333,266.4002324308764,230.50661364643287,250.90865521746625,254.66411279566765
65,226.9457752469974,10.678408480466995,196.65995024169658,222.15048809908836,232.27703318736312,236.00916134830496
66,190.36451335928493,6.7311493038071655,157.94311705852866,204.6060633951468,200.41072116508568,199.86318991118952
67,170.52193061248855,17.758770271882813,224.37233238668875,208.43289654789646,186.6204451747205,190.6119713148289
68,180.27850706588447,29.612265841622975,201.7651827252605,228.128091587241,190.55482325611047,199.56940903336755
69,226.24727627221117,13.132649062794812,239.62283160935206,250.4251066234851,231.3962609862485,234.85986683282292
